product,total_quantity_sold,total_revenue,average_quantity_sold,predicted_60_day_quantity,reason
Laxmi Coriander Pwdr 400G,36.0,143.64,36.0,2160.0,Prediction is based on average quantity sold during the given timeframe.
Laxmi Corn Oil /2.84L,2.0,31.98,2.0,120.0,Prediction is based on average quantity sold during the given timeframe.
Laxmi Corriander Powder 800Gm,10.0,47.92,10.0,600.0,Prediction is based on average quantity sold during the given timeframe.
Laxmi Corriander Pwdr 200G,38.0,75.62,38.0,2280.0,Prediction is based on average quantity sold during the given timeframe.
Laxmi Corriander Seeds 200Gm,34.0,101.66,34.0,2040.0,Prediction is based on average quantity sold during the given timeframe.
Laxmi Corriander Seeds 400G,26.0,103.74,26.0,1560.0,Prediction is based on average quantity sold during the given timeframe.
Laxmi Cracked Wheat 2Lb,7.0,24.43,7.0,420.0,Prediction is based on average quantity sold during the given timeframe.
Laxmi Cracked Wheat 4Lb,5.0,29.95,5.0,300.0,Prediction is based on average quantity sold during the given timeframe.
Laxmi Crushed P Chikki,29.0,72.21,29.0,1740.0,Prediction is based on average quantity sold during the given timeframe.
Laxmi Crushed Red Chili 200G,9.0,22.41,9.0,540.0,Prediction is based on average quantity sold during the given timeframe.
Laxmi Crushed Red Chilli 250G,4.0,11.96,4.0,240.0,Prediction is based on average quantity sold during the given timeframe.
Laxmi Crystal S Masoori 20Lb,13.0,365.87,13.0,780.0,Prediction is based on average quantity sold during the given timeframe.
Laxmi Cumin Powder 200G,17.0,54.83,17.0,1020.0,Prediction is based on average quantity sold during the given timeframe.
Laxmi Cumin Powder 800Gm,4.0,43.96,4.0,240.0,Prediction is based on average quantity sold during the given timeframe.
Laxmi Cumin Seeds 200G,49.0,171.01,49.0,2940.0,Prediction is based on average quantity sold during the given timeframe.
Laxmi Cumin Seeds 400Gm,66.0,395.34,66.0,3960.0,Prediction is based on average quantity sold during the given timeframe.
Laxmi Cumin Seeds 800G,37.0,480.63,37.0,2220.0,Prediction is based on average quantity sold during the given timeframe.
Laxmi Dalia Split (400G),32.0,95.68,32.0,1920.0,Prediction is based on average quantity sold during the given timeframe.
Laxmi Dalia/ Split Chick- 800G,14.0,69.86,14.0,840.0,Prediction is based on average quantity sold during the given timeframe.
Laxmi Desi Besan,7.0,48.93,7.0,420.0,Prediction is based on average quantity sold during the given timeframe.
Laxmi Desi Besan 2LB,8.0,27.92,8.0,480.0,Prediction is based on average quantity sold during the given timeframe.
Laxmi Desi Jaggery 4.4Lb,6.0,41.94,6.0,360.0,Prediction is based on average quantity sold during the given timeframe.
Laxmi Dhoop(8 Sticks),12.0,23.88,12.0,720.0,Prediction is based on average quantity sold during the given timeframe.
Laxmi Extra Hot,12.0,35.88,12.0,720.0,Prediction is based on average quantity sold during the given timeframe.
Laxmi Extra Hot Red Chili 400G,17.0,84.83,17.0,1020.0,Prediction is based on average quantity sold during the given timeframe.
Laxmi Extra L Basmati Rice 10,14.0,237.86,14.0,840.0,Prediction is based on average quantity sold during the given timeframe.
Laxmi Extralong Basmati 40Lb,4.0,219.96,4.0,240.0,Prediction is based on average quantity sold during the given timeframe.
Laxmi Fansi(French Beans)300G,9.0,17.91,9.0,540.0,Prediction is based on average quantity sold during the given timeframe.
Laxmi Fenel Seeds -400Gm,48.0,293.52,48.0,2880.0,Prediction is based on average quantity sold during the given timeframe.
Laxmi Fennel Seeds 200Gm,56.0,173.44,56.0,3360.0,Prediction is based on average quantity sold during the given timeframe.
Laxmi Fenugreek Whole 520G,2.0,13.98,2.0,120.0,Prediction is based on average quantity sold during the given timeframe.
Laxmi Flaxseeds 400G,10.0,39.9,10.0,600.0,Prediction is based on average quantity sold during the given timeframe.
Laxmi Football Masoor 2Lb,13.0,51.87,13.0,780.0,Prediction is based on average quantity sold during the given timeframe.
Laxmi Football Masoor 4Lb,19.0,132.81,19.0,1140.0,Prediction is based on average quantity sold during the given timeframe.
Laxmi Fresh Paneer 340g,6.0,35.94,6.0,360.0,Prediction is based on average quantity sold during the given timeframe.
Laxmi Fried Onion 400G,27.0,107.73,27.0,1620.0,Prediction is based on average quantity sold during the given timeframe.
Laxmi Garam Masala 200G,21.0,62.79,21.0,1260.0,Prediction is based on average quantity sold during the given timeframe.
Laxmi Garam Masala 350G,2.0,15.98,2.0,120.0,Prediction is based on average quantity sold during the given timeframe.
Laxmi Garam Masala 400G,21.0,104.79,21.0,1260.0,Prediction is based on average quantity sold during the given timeframe.
Laxmi Garlic Butter Naan12pcs,27.0,215.73,27.0,1620.0,Prediction is based on average quantity sold during the given timeframe.
Laxmi Garlic Paste 24Oz,29.0,173.71,29.0,1740.0,Prediction is based on average quantity sold during the given timeframe.
Laxmi Garlic Paste 9Oz,16.0,47.84,16.0,960.0,Prediction is based on average quantity sold during the given timeframe.
Laxmi Ghee 14Oz,22.0,225.78,22.0,1320.0,Prediction is based on average quantity sold during the given timeframe.
Laxmi Ghee 800G/28Oz,11.0,192.89,11.0,660.0,Prediction is based on average quantity sold during the given timeframe.
Laxmi Ging Garlic Paste 24Oz,48.0,287.52,48.0,2880.0,Prediction is based on average quantity sold during the given timeframe.
Laxmi Gingelly Oil 5 Lt,7.0,244.93,7.0,420.0,Prediction is based on average quantity sold during the given timeframe.
Laxmi Ginger Garlic Paste 8Oz,20.0,59.8,20.0,1200.0,Prediction is based on average quantity sold during the given timeframe.
Laxmi Ginger Paste (24Oz),13.0,77.87,13.0,780.0,Prediction is based on average quantity sold during the given timeframe.
Laxmi Ginger Paste(8Oz),13.0,38.87,13.0,780.0,Prediction is based on average quantity sold during the given timeframe.
Laxmi Ginger Powder(200G),14.0,41.86,14.0,840.0,Prediction is based on average quantity sold during the given timeframe.
Laxmi Gobi Paratha 400G,7.0,20.93,7.0,420.0,Prediction is based on average quantity sold during the given timeframe.
Laxmi Goddess,10.99,30.94,10.99,659.4,Prediction is based on average quantity sold during the given timeframe.
Laxmi Golden Raisians 800G,38.0,306.62,38.0,2280.0,Prediction is based on average quantity sold during the given timeframe.
Laxmi Golden Raisins 400G,34.0,169.66,34.0,2040.0,Prediction is based on average quantity sold during the given timeframe.
Laxmi Gram Flour Besan 4 Lbs,37.0,221.63,37.0,2220.0,Prediction is based on average quantity sold during the given timeframe.
Laxmi Gram Flour Besan(2Lbs),90.0,358.6,90.0,5400.0,Prediction is based on average quantity sold during the given timeframe.
Laxmi Grated Coconut 1.2Kg,34.0,271.66,34.0,2040.0,Prediction is based on average quantity sold during the given timeframe.
Laxmi Grated Coconut 400Gm,102.0,304.98,102.0,6120.0,Prediction is based on average quantity sold during the given timeframe.
Laxmi Green Cardamom 100G,33.0,287.67,33.0,1980.0,Prediction is based on average quantity sold during the given timeframe.
Laxmi Green Cardamom 200G,44.0,677.56,44.0,2640.0,Prediction is based on average quantity sold during the given timeframe.
Laxmi Green Peas 300G,94.0,187.06,94.0,5640.0,Prediction is based on average quantity sold during the given timeframe.
Laxmi Green Vatana 2LB,3.0,11.97,3.0,180.0,Prediction is based on average quantity sold during the given timeframe.
Laxmi Green Vatana 2Lb,1.0,2.99,1.0,60.0,Prediction is based on average quantity sold during the given timeframe.
Laxmi Green Vatana 4LB,2.0,11.98,2.0,120.0,Prediction is based on average quantity sold during the given timeframe.
Laxmi Guar Beans Frozen 300gm,24.0,64.76,24.0,1440.0,Prediction is based on average quantity sold during the given timeframe.
Laxmi Homestyle Paratha 15pcs,3.0,20.97,3.0,180.0,Prediction is based on average quantity sold during the given timeframe.
Laxmi Idli Rava 4Lb,40.0,201.6,40.0,2400.0,Prediction is based on average quantity sold during the given timeframe.
Laxmi Idli Rice - 20Lb,19.0,461.81,19.0,1140.0,Prediction is based on average quantity sold during the given timeframe.
Laxmi Idli Rice 10Lb,17.0,237.83,17.0,1020.0,Prediction is based on average quantity sold during the given timeframe.
Laxmi Idly Rava 2Lb,51.0,152.49,51.0,3060.0,Prediction is based on average quantity sold during the given timeframe.
Laxmi Idly Rice 4Lb,10.0,59.9,10.0,600.0,Prediction is based on average quantity sold during the given timeframe.
Laxmi Idol,1.0,35.99,1.0,60.0,Prediction is based on average quantity sold during the given timeframe.
Laxmi Jaggery (Gud) 2Kg,6.0,41.94,6.0,360.0,Prediction is based on average quantity sold during the given timeframe.
Laxmi Jaggery (Gud) 800Gm,2.0,7.98,2.0,120.0,Prediction is based on average quantity sold during the given timeframe.
Laxmi Jaggery Balls 2Lb,8.0,31.92,8.0,480.0,Prediction is based on average quantity sold during the given timeframe.
Laxmi Jaggery Cubes 2Lb,22.0,87.78,22.0,1320.0,Prediction is based on average quantity sold during the given timeframe.
Laxmi Jalapeno & Cheese Samosa 20pcs,6.0,41.94,6.0,360.0,Prediction is based on average quantity sold during the given timeframe.
Laxmi Jumbo Peanut 4Lb,122.0,974.78,122.0,7320.0,Prediction is based on average quantity sold during the given timeframe.
Laxmi Jumbo Punjabi Samosa,6.0,35.94,6.0,360.0,Prediction is based on average quantity sold during the given timeframe.
Laxmi Jumbo Samosa,5.0,69.95,5.0,300.0,Prediction is based on average quantity sold during the given timeframe.
Laxmi Juwar Flour 2Lb,22.0,65.78,22.0,1320.0,Prediction is based on average quantity sold during the given timeframe.
Laxmi Kabuli Chana 2Lb,22.0,87.78,22.0,1320.0,Prediction is based on average quantity sold during the given timeframe.
Laxmi Kabuli Chana 4Lb,49.0,342.51,49.0,2940.0,Prediction is based on average quantity sold during the given timeframe.
Laxmi Kala Chana (4Lb),12.0,83.88,12.0,720.0,Prediction is based on average quantity sold during the given timeframe.
Laxmi Kala Chana 2Lb,26.0,103.74,26.0,1560.0,Prediction is based on average quantity sold during the given timeframe.
Laxmi Kala Chana 8Lb,2.0,21.98,2.0,120.0,Prediction is based on average quantity sold during the given timeframe.
Laxmi Kala Jeera 100G,13.0,38.87,13.0,780.0,Prediction is based on average quantity sold during the given timeframe.
Laxmi Kashmiri Chili Whole200G,42.0,195.58,42.0,2520.0,Prediction is based on average quantity sold during the given timeframe.
Laxmi Kashmiri Chill poder 400G,35.0,248.65,35.0,2100.0,Prediction is based on average quantity sold during the given timeframe.
Laxmi Kasmiri Powder 200Gm,18.0,71.82,18.0,1080.0,Prediction is based on average quantity sold during the given timeframe.
Laxmi Kerala Kuthari Matta Ric,3.0,77.97,3.0,180.0,Prediction is based on average quantity sold during the given timeframe.
Laxmi Kesar Mango Pulp(850G),15.0,66.85,15.0,900.0,Prediction is based on average quantity sold during the given timeframe.
Laxmi Kolhapuri Mamra400G,40.0,119.6,40.0,2400.0,Prediction is based on average quantity sold during the given timeframe.
Laxmi Kurmura Laddu,60.0,119.4,60.0,3600.0,Prediction is based on average quantity sold during the given timeframe.
Laxmi Lacha Paratha 400G,13.0,38.87,13.0,780.0,Prediction is based on average quantity sold during the given timeframe.
Laxmi Loose Black Tea 2LB,16.0,127.84,16.0,960.0,Prediction is based on average quantity sold during the given timeframe.
Laxmi Low Gi Basmati Rice 10Lb,19.0,322.81,19.0,1140.0,Prediction is based on average quantity sold during the given timeframe.
Laxmi Low Gi Basmati Rice 4Lb,1.0,7.99,1.0,60.0,Prediction is based on average quantity sold during the given timeframe.
Laxmi MUKHWAS GREEN 200G,21.0,38.39,21.0,1260.0,Prediction is based on average quantity sold during the given timeframe.
Laxmi Mahab.Roasted Chana 400G,25.0,85.75,25.0,1500.0,Prediction is based on average quantity sold during the given timeframe.
Laxmi Mamra Basmati 400G,40.0,119.6,40.0,2400.0,Prediction is based on average quantity sold during the given timeframe.
Laxmi Masoor Dal 2Lb,16.0,63.84,16.0,960.0,Prediction is based on average quantity sold during the given timeframe.
Laxmi Masoor Dal 4Lb,11.0,76.89,11.0,660.0,Prediction is based on average quantity sold during the given timeframe.
Laxmi Masoor Whole 2Lb,17.0,67.83,17.0,1020.0,Prediction is based on average quantity sold during the given timeframe.
Laxmi Masoor Whole 4Lb,6.0,41.94,6.0,360.0,Prediction is based on average quantity sold during the given timeframe.
Laxmi Methi Paratha 400G,5.0,14.95,5.0,300.0,Prediction is based on average quantity sold during the given timeframe.
Laxmi Methi Seeds 400Gm,20.0,59.8,20.0,1200.0,Prediction is based on average quantity sold during the given timeframe.
Laxmi Methi Seeds(200G),35.0,69.65,35.0,2100.0,Prediction is based on average quantity sold during the given timeframe.
Laxmi Milk Rusk 300G,6.0,11.94,6.0,360.0,Prediction is based on average quantity sold during the given timeframe.
Laxmi Mint Chutney 9Fl Oz,10.0,39.9,10.0,600.0,Prediction is based on average quantity sold during the given timeframe.
Laxmi Mix Veg Paratha 400G,8.0,23.92,8.0,480.0,Prediction is based on average quantity sold during the given timeframe.
Laxmi Moong Dal 2Lb,62.0,267.38,62.0,3720.0,Prediction is based on average quantity sold during the given timeframe.
Laxmi Moong Dal 4Lb,23.0,160.77,23.0,1380.0,Prediction is based on average quantity sold during the given timeframe.
Laxmi Mustard Seeds 200G,53.0,105.47,53.0,3180.0,Prediction is based on average quantity sold during the given timeframe.
Laxmi Mustard Seeds 400Gm,27.0,80.73,27.0,1620.0,Prediction is based on average quantity sold during the given timeframe.
Laxmi Mustard Whole Big 450G,6.0,23.94,6.0,360.0,Prediction is based on average quantity sold during the given timeframe.
Laxmi Mysore Murmura 400g,20.0,59.8,20.0,1200.0,Prediction is based on average quantity sold during the given timeframe.
Laxmi Nutmeg Pwd 100G,2.0,9.98,2.0,120.0,Prediction is based on average quantity sold during the given timeframe.
Laxmi Onion Paratha 400G,8.0,23.92,8.0,480.0,Prediction is based on average quantity sold during the given timeframe.
Laxmi Paneer 5lb,1.0,32.99,1.0,60.0,Prediction is based on average quantity sold during the given timeframe.
Laxmi Paneer Jalebi 350Gm,15.0,104.85,15.0,900.0,Prediction is based on average quantity sold during the given timeframe.
Laxmi Paneer Paratha 400G,17.0,67.83,17.0,1020.0,Prediction is based on average quantity sold during the given timeframe.
Laxmi Panipuri Con 8Oz,7.0,27.93,7.0,420.0,Prediction is based on average quantity sold during the given timeframe.
Laxmi Paprika (200G),2.0,5.98,2.0,120.0,Prediction is based on average quantity sold during the given timeframe.
Laxmi Paprika 400Gm,2.0,7.98,2.0,120.0,Prediction is based on average quantity sold during the given timeframe.
Laxmi Peanut Chikki 200Gm,20.0,52.3,20.0,1200.0,Prediction is based on average quantity sold during the given timeframe.
Laxmi Peanut Laddu,8.0,19.92,8.0,480.0,Prediction is based on average quantity sold during the given timeframe.
Laxmi Peanut Oil 2Liter,3.0,38.97,3.0,180.0,Prediction is based on average quantity sold during the given timeframe.
Laxmi Peanut Raw 800G,332.0,1324.68,332.0,19920.0,Prediction is based on average quantity sold during the given timeframe.
Laxmi Peanuts - 400 Gms,18.0,53.82,18.0,1080.0,Prediction is based on average quantity sold during the given timeframe.
Laxmi Phool Makhana 200G,25.0,197.75,25.0,1500.0,Prediction is based on average quantity sold during the given timeframe.
Laxmi Phool Makhana 400G,26.0,409.74,26.0,1560.0,Prediction is based on average quantity sold during the given timeframe.
Laxmi Poha Thin 4 Lb,5.0,29.95,5.0,300.0,Prediction is based on average quantity sold during the given timeframe.
Laxmi Ponni Boiled Rice 10Lb,16.0,207.84,16.0,960.0,Prediction is based on average quantity sold during the given timeframe.
Laxmi Ponni Boiled Rice 20Lb,9.0,215.91,9.0,540.0,Prediction is based on average quantity sold during the given timeframe.
Laxmi Ponni Raw Rice 10Lb,9.0,143.91,9.0,540.0,Prediction is based on average quantity sold during the given timeframe.
Laxmi Ponni Raw Rice 20Lb,5.0,129.95,5.0,300.0,Prediction is based on average quantity sold during the given timeframe.
Laxmi Poppy Seeds 100G,32.0,95.68,32.0,1920.0,Prediction is based on average quantity sold during the given timeframe.
Laxmi Poppy Seeds 200G,22.0,131.78,22.0,1320.0,Prediction is based on average quantity sold during the given timeframe.
Laxmi Potato Peas Samosa,6.0,29.94,6.0,360.0,Prediction is based on average quantity sold during the given timeframe.
Laxmi Punjab Gud 2lb,4.0,19.96,4.0,240.0,Prediction is based on average quantity sold during the given timeframe.
Laxmi Punjab Masala Gudi 2lb,13.0,51.87,13.0,780.0,Prediction is based on average quantity sold during the given timeframe.
Laxmi Punjab Shakkar 2lb,7.0,27.93,7.0,420.0,Prediction is based on average quantity sold during the given timeframe.
Laxmi Punjabi Samosa 8pcs,5.0,29.95,5.0,300.0,Prediction is based on average quantity sold during the given timeframe.
Laxmi Punjabi Samosas,1.0,6.99,1.0,60.0,Prediction is based on average quantity sold during the given timeframe.
Laxmi Ragi Flour 4Lb,14.0,83.86,14.0,840.0,Prediction is based on average quantity sold during the given timeframe.
Laxmi Raw Peanut 3.5Lb,142.0,992.58,142.0,8520.0,Prediction is based on average quantity sold during the given timeframe.
Laxmi Red Chilli Powder 200G,38.0,113.62,38.0,2280.0,Prediction is based on average quantity sold during the given timeframe.
Laxmi Red Chilli Powder 400Gm,18.0,91.82,18.0,1080.0,Prediction is based on average quantity sold during the given timeframe.
Laxmi Red Chilly Powder-800G,7.0,59.43,7.0,420.0,Prediction is based on average quantity sold during the given timeframe.
Laxmi Red Chori(2 Lbs),14.0,55.86,14.0,840.0,Prediction is based on average quantity sold during the given timeframe.
Laxmi Red Poha 400G,20.0,39.8,20.0,1200.0,Prediction is based on average quantity sold during the given timeframe.
Laxmi Respati Chilli 400Gm,2.0,9.98,2.0,120.0,Prediction is based on average quantity sold during the given timeframe.
Laxmi Rice Flour 2 Lbs,74.0,221.26,74.0,4440.0,Prediction is based on average quantity sold during the given timeframe.
Laxmi Rice Flour 4Lb,6.0,29.94,6.0,360.0,Prediction is based on average quantity sold during the given timeframe.
Laxmi Round Red Chilies 200G,17.0,67.83,17.0,1020.0,Prediction is based on average quantity sold during the given timeframe.
Laxmi Rusk 300G,37.0,73.63,37.0,2220.0,Prediction is based on average quantity sold during the given timeframe.
Laxmi Rusk 600Gm,30.0,119.7,30.0,1800.0,Prediction is based on average quantity sold during the given timeframe.
Laxmi Sabudana 2 Lb,21.0,83.79,21.0,1260.0,Prediction is based on average quantity sold during the given timeframe.
Laxmi Sabudana 4Lb,2.0,11.98,2.0,120.0,Prediction is based on average quantity sold during the given timeframe.
Laxmi Saffron 1G,22.0,85.78,22.0,1320.0,Prediction is based on average quantity sold during the given timeframe.
Laxmi Saffron 2G,6.0,35.94,6.0,360.0,Prediction is based on average quantity sold during the given timeframe.
Laxmi Sella Pboiled Basma 10Lb,2.0,39.98,2.0,120.0,Prediction is based on average quantity sold during the given timeframe.
Laxmi Sesame (1Lt),24.0,253.76,24.0,1440.0,Prediction is based on average quantity sold during the given timeframe.
Laxmi Sesame Oil 2L,25.0,419.75,25.0,1500.0,Prediction is based on average quantity sold during the given timeframe.
Laxmi Sesame Oil 500Ml,20.0,143.8,20.0,1200.0,Prediction is based on average quantity sold during the given timeframe.
Laxmi Sharbati Chap Flour 20Lb,3.0,65.97,3.0,180.0,Prediction is based on average quantity sold during the given timeframe.
Laxmi Shredded Coconut 1.2Kg,22.0,175.78,22.0,1320.0,Prediction is based on average quantity sold during the given timeframe.
Laxmi Shredded Coconut 400Gm,152.0,454.48,152.0,9120.0,Prediction is based on average quantity sold during the given timeframe.
Laxmi Sona Masoori Rice 40Lb,1.0,45.99,1.0,60.0,Prediction is based on average quantity sold during the given timeframe.
Laxmi Sonamasoori Rice 10Lb,17.0,203.83,17.0,1020.0,Prediction is based on average quantity sold during the given timeframe.
Laxmi Sonamasoori Rice 20Lb,239.0,4791.61,239.0,14340.0,Prediction is based on average quantity sold during the given timeframe.
Laxmi Sooji Course 4 Lbs,63.0,377.37,63.0,3780.0,Prediction is based on average quantity sold during the given timeframe.
Laxmi Sooji Fine 2Lb,27.0,80.73,27.0,1620.0,Prediction is based on average quantity sold during the given timeframe.
Laxmi Sooji Fine 4 Lbs,15.0,89.85,15.0,900.0,Prediction is based on average quantity sold during the given timeframe.
Laxmi Sooji Roasted 2Lb,30.0,89.7,30.0,1800.0,Prediction is based on average quantity sold during the given timeframe.
Laxmi Sooji Roasted 4Lb,11.0,65.89,11.0,660.0,Prediction is based on average quantity sold during the given timeframe.
Laxmi Split Moong Dal(2 Lbs),10.0,39.9,10.0,600.0,Prediction is based on average quantity sold during the given timeframe.
Laxmi Split Moong Dal(4 Lbs),13.0,90.87,13.0,780.0,Prediction is based on average quantity sold during the given timeframe.
Laxmi Star Anise Seed(100G),21.0,98.39,21.0,1260.0,Prediction is based on average quantity sold during the given timeframe.
Laxmi Star Anise Seeds(200G),4.0,35.46,4.0,240.0,Prediction is based on average quantity sold during the given timeframe.
Laxmi Super Jumbo Pun Samosa 20pcs,7.0,118.93,7.0,420.0,Prediction is based on average quantity sold during the given timeframe.
Laxmi Takmaria 100Gm,20.0,40.3,20.0,1200.0,Prediction is based on average quantity sold during the given timeframe.
Laxmi Tamarind & Dates Chutney,10.0,59.9,10.0,600.0,Prediction is based on average quantity sold during the given timeframe.
Laxmi Tamarind 1Kg,1.0,5.99,1.0,60.0,Prediction is based on average quantity sold during the given timeframe.
Laxmi Tamarind Chutney,6.0,23.94,6.0,360.0,Prediction is based on average quantity sold during the given timeframe.
Laxmi Tamarind Concentrade 14O,14.0,83.86,14.0,840.0,Prediction is based on average quantity sold during the given timeframe.
Laxmi Tamarind Datechutney 8Oz,20.0,79.8,20.0,1200.0,Prediction is based on average quantity sold during the given timeframe.
Laxmi Tandoori Paneer Samosa 20pcs,2.0,13.98,2.0,120.0,Prediction is based on average quantity sold during the given timeframe.
Laxmi Tandoori Roti 960G,5.0,29.95,5.0,300.0,Prediction is based on average quantity sold during the given timeframe.
Laxmi Tea Masala(100G),1.0,2.99,1.0,60.0,Prediction is based on average quantity sold during the given timeframe.
Laxmi Thick Poha 2 Lb,21.0,62.79,21.0,1260.0,Prediction is based on average quantity sold during the given timeframe.
Laxmi Thick Poha 4 Lb,16.0,95.84,16.0,960.0,Prediction is based on average quantity sold during the given timeframe.
Laxmi Thin Poha 4lb,3.0,17.97,3.0,180.0,Prediction is based on average quantity sold during the given timeframe.
Laxmi Thin Poha 800Gm,10.0,39.9,10.0,600.0,Prediction is based on average quantity sold during the given timeframe.
Laxmi Till Chikki,39.0,97.11,39.0,2340.0,Prediction is based on average quantity sold during the given timeframe.
Laxmi Tindora,41.0,81.59,41.0,2460.0,Prediction is based on average quantity sold during the given timeframe.
Laxmi Tindora 908 G,12.0,59.88,12.0,720.0,Prediction is based on average quantity sold during the given timeframe.
Laxmi Toor Dal 2Lb,204.0,827.96,204.0,12240.0,Prediction is based on average quantity sold during the given timeframe.
Laxmi Toor Dal Madhi 4Lb,103.0,734.97,103.0,6180.0,Prediction is based on average quantity sold during the given timeframe.
Laxmi Turmeric Powder 200G,31.0,61.69,31.0,1860.0,Prediction is based on average quantity sold during the given timeframe.
Laxmi Turmeric Powder 400G,54.0,190.96,54.0,3240.0,Prediction is based on average quantity sold during the given timeframe.
Laxmi Urad Dal 2Lb,36.0,148.64,36.0,2160.0,Prediction is based on average quantity sold during the given timeframe.
Laxmi Urad Dal 4Lb,20.0,143.8,20.0,1200.0,Prediction is based on average quantity sold during the given timeframe.
Laxmi Urad Gota 2Lb,125.0,498.75,125.0,7500.0,Prediction is based on average quantity sold during the given timeframe.
Laxmi Urad Gota 4Lbs,31.0,216.69,31.0,1860.0,Prediction is based on average quantity sold during the given timeframe.
Laxmi Urad Gota 8Lb,19.0,265.81,19.0,1140.0,Prediction is based on average quantity sold during the given timeframe.
Laxmi Val Dal 2Lb,3.0,14.97,3.0,180.0,Prediction is based on average quantity sold during the given timeframe.
Laxmi Val Lilva - 310Gm,23.0,68.77,23.0,1380.0,Prediction is based on average quantity sold during the given timeframe.
Laxmi Val Papdi,38.0,94.62,38.0,2280.0,Prediction is based on average quantity sold during the given timeframe.
Laxmi Vatana 4Lb,8.0,47.92,8.0,480.0,Prediction is based on average quantity sold during the given timeframe.
Laxmi Vsd Matoor Dal Plain 8Lb,16.0,222.84,16.0,960.0,Prediction is based on average quantity sold during the given timeframe.
Laxmi Wet Tamarind (400G),60.0,239.4,60.0,3600.0,Prediction is based on average quantity sold during the given timeframe.
Laxmi White Sesame Seeds 800 G,8.0,63.92,8.0,480.0,Prediction is based on average quantity sold during the given timeframe.
Laxmi White Sesame Seeds(400G),30.0,119.7,30.0,1800.0,Prediction is based on average quantity sold during the given timeframe.
Laxmi Whole Cashews 800G,27.0,458.73,27.0,1620.0,Prediction is based on average quantity sold during the given timeframe.
Laxmi Whole Chilli Red 400G,10.0,69.9,10.0,600.0,Prediction is based on average quantity sold during the given timeframe.
Laxmi Whole Moong 2Lbs,44.0,175.56,44.0,2640.0,Prediction is based on average quantity sold during the given timeframe.
Laxmi Whole Moong 4 Lb,16.0,111.84,16.0,960.0,Prediction is based on average quantity sold during the given timeframe.
Laxmi Whole Moong Big 4Lb,23.0,160.77,23.0,1380.0,Prediction is based on average quantity sold during the given timeframe.
Laxmi Whole Nutmeg 100G,8.0,35.92,8.0,480.0,Prediction is based on average quantity sold during the given timeframe.
Laxmi Whole Red Chilly 200Gm,36.0,143.64,36.0,2160.0,Prediction is based on average quantity sold during the given timeframe.
Laxmi Whole Urad 2Lb,21.0,83.79,21.0,1260.0,Prediction is based on average quantity sold during the given timeframe.
Laxmi Whole Urad 4Lb,8.0,55.92,8.0,480.0,Prediction is based on average quantity sold during the given timeframe.
Laxmi Yellow Dal Tadka 284g,3.0,8.97,3.0,180.0,Prediction is based on average quantity sold during the given timeframe.
Laxmi Yellow Split Peas 2Lb,19.0,56.81,19.0,1140.0,Prediction is based on average quantity sold during the given timeframe.
Laxmi Yellow Split Peas 4Lb,4.0,23.96,4.0,240.0,Prediction is based on average quantity sold during the given timeframe.
Laxmi Yellow Vatana 2Lb,27.0,80.73,27.0,1620.0,Prediction is based on average quantity sold during the given timeframe.
Laxmi desi roasted Gram Snack 800G,21.0,104.79,21.0,1260.0,Prediction is based on average quantity sold during the given timeframe.
Laxmi guntur sannam chilli whole 200g,17.0,67.83,17.0,1020.0,Prediction is based on average quantity sold during the given timeframe.
Laxmi small mustard seeds,24.0,71.76,24.0,1440.0,Prediction is based on average quantity sold during the given timeframe.
Laxmi south indian Rice Flour 4lb,36.0,179.64,36.0,2160.0,Prediction is based on average quantity sold during the given timeframe.
Lay's Spanish Tom Tango 61G,319.1,475.46,319.1,19146.0,Prediction is based on average quantity sold during the given timeframe.
Lays Chips Chile Limon,4.0,5.96,4.0,240.0,Prediction is based on average quantity sold during the given timeframe.
Lays Classic Salted,160.0,238.4,160.0,9600.0,Prediction is based on average quantity sold during the given timeframe.
Lays Cream & Onion,325.0,484.25,325.0,19500.0,Prediction is based on average quantity sold during the given timeframe.
Lays Hot N Sweet,196.0,292.04,196.0,11760.0,Prediction is based on average quantity sold during the given timeframe.
Lays Magic Masala,432.0,643.68,432.0,25920.0,Prediction is based on average quantity sold during the given timeframe.
Lays Sizziling Hot,76.0,98.04,76.0,4560.0,Prediction is based on average quantity sold during the given timeframe.
Lemon (Yellow),2252.17,563.04,2252.17,135130.2,Prediction is based on average quantity sold during the given timeframe.
Lemon Shampoo 400ML,1.0,6.99,1.0,60.0,Prediction is based on average quantity sold during the given timeframe.
Lg Hing - 100G,20.0,69.8,20.0,1200.0,Prediction is based on average quantity sold during the given timeframe.
Lifebuoy 125G,13.0,25.87,13.0,780.0,Prediction is based on average quantity sold during the given timeframe.
Lijjat Jeera Papad 200Gm,20.0,39.8,20.0,1200.0,Prediction is based on average quantity sold during the given timeframe.
Lijjat Punjbi Masala Papd 200G,8.0,15.92,8.0,480.0,Prediction is based on average quantity sold during the given timeframe.
Limca Can 300 Ml,136.0,270.64,136.0,8160.0,Prediction is based on average quantity sold during the given timeframe.
Lion Date Multigrain Mix 500g,3.0,23.97,3.0,180.0,Prediction is based on average quantity sold during the given timeframe.
Lion Date Syrup 500ml,10.0,59.9,10.0,600.0,Prediction is based on average quantity sold during the given timeframe.
