product,total_quantity_sold,total_revenue,average_quantity_sold,average_revenue,number_of_records
AARA JOWAR FLOUR 2LB,8.0,31.92,8.0,31.92,1
Gazab Sweet Fennel 200G,8.0,31.92,8.0,31.92,1
UDHAYAM URAD DAL 1KG,8.0,31.92,8.0,31.92,1
Altaj Saffron 1gm,8.0,31.92,8.0,31.92,1
Hide&Seek Choco Rolls,8.0,31.92,8.0,31.92,1
Munakka 100G,8.0,31.92,8.0,31.92,1
Deep Garam Masala Whole 200Gm,8.0,31.92,8.0,31.92,1
Daily Delight Karaseva 250g,8.0,31.92,8.0,31.92,1
VEEBA MASALA TOMATO SAUCE 475g,8.0,31.92,8.0,31.92,1
Aara Cinnamon St 200G,8.0,31.92,8.0,31.92,1
Nilamels chukkukappi 150g,8.0,31.92,8.0,31.92,1
Daliy Delight Pakkavada 175g,8.0,31.92,8.0,31.92,1
Ara Andhra Mustard Seeds 200Gm,16.0,31.84,16.0,31.84,1
Garvi Gujarat 3 In 1 Puri,16.0,31.84,16.0,31.84,1
Ara Bay Leaf,16.0,31.84,16.0,31.84,1
Reddy's Ajwain seeds 100gm,16.0,31.84,16.0,31.84,1
Mdh Pani Puri Masala(100G),16.0,31.84,16.0,31.84,1
Mdh Chicken Curry Masala 100Gm,16.0,31.84,16.0,31.84,1
Amul Badam Shake,16.0,31.84,16.0,31.84,1
Priya Nallakaram Pwd 100G,16.0,31.84,16.0,31.84,1
Sdp Red Rice Noodles,16.0,31.84,16.0,31.84,1
Dairymilk Caramel 45g,16.0,31.84,16.0,31.84,1
DOVE CREAM BAR,16.0,31.84,16.0,31.84,1
Priya Hyderabadi Mutton Masala50G,16.0,31.84,16.0,31.84,1
Deep Val Papadi -340 Gm,16.0,31.84,16.0,31.84,1
Parle Monaco 65G,46.0,31.74,46.0,31.74,1
Best Tamarind 400g,7.0,31.43,7.0,31.43,1
Gazab Ginger Whole 200G,9.0,31.41,9.0,31.41,1
Swagat Blanched peanuts 14oz,9.0,31.41,9.0,31.41,1
Mothers Corriander Chutney 250G,9.0,31.41,9.0,31.41,1
tikka paste,9.0,31.41,9.0,31.41,1
EVEREST GINGER GARLICPASTE100G,24.0,30.96,24.0,30.96,1
Laxmi Goddess,10.99,30.94,10.99,30.94,1
Aluminium flat kadai # 9,1.0,29.99,1.0,29.99,1
Royal Sela Basmati 10Lb,2.0,29.98,2.0,29.98,1
Deep Exlong Basmati/10Lb,2.0,29.98,2.0,29.98,1
Tata Tea Premium Black Tea 900g,3.0,29.97,3.0,29.97,1
Haldiram Sweet Delight 500gm,3.0,29.97,3.0,29.97,1
Mirch Masala Paratha Fmly Pack,3.0,29.97,3.0,29.97,1
Deep Milk Mawa Powder-400G,3.0,29.97,3.0,29.97,1
Idki Stand (3Plts),3.0,29.97,3.0,29.97,1
Laxmi Poha Thin 4 Lb,5.0,29.95,5.0,29.95,1
Himalaya Mud Mask 150Ml,5.0,29.95,5.0,29.95,1
masoor dal,5.0,29.95,5.0,29.95,1
Dabur Amla Hair Oil 300Ml,5.0,29.95,5.0,29.95,1
Laxmi Punjabi Samosa 8pcs,5.0,29.95,5.0,29.95,1
Sdp Chili Pwdr 250G,5.0,29.95,5.0,29.95,1
Laxmi Tandoori Roti 960G,5.0,29.95,5.0,29.95,1
Gazab Sliced Almond 200G,5.0,29.95,5.0,29.95,1
Priyems Dosa Batter 900gm,7.0,29.95,7.0,29.95,1
Laxmi Cracked Wheat 4Lb,5.0,29.95,5.0,29.95,1
Tetley Ginger Teas Bags (72),5.0,29.95,5.0,29.95,1
Laxmi Potato Peas Samosa,6.0,29.94,6.0,29.94,1
Amul milk velvet chocolate 150g,6.0,29.94,6.0,29.94,1
veg pickles,6.0,29.94,6.0,29.94,1
SWAGAT GREEN RAISINS 200G,6.0,29.94,6.0,29.94,1
Reddy's Black cardamom 100gm,6.0,29.94,6.0,29.94,1
Vicco Face Wash,6.0,29.94,6.0,29.94,1
Quiktea Madras Coffee 10ct,6.0,29.94,6.0,29.94,1
LYCA SIM,6.0,29.94,6.0,29.94,1
Deep Aloo Bukhara 7 Oz,6.0,29.94,6.0,29.94,1
Crunchy Delight Quinoa peanut chikki 275g,6.0,29.94,6.0,29.94,1
Crunchy Delight Multi seed chikki 200gm,6.0,29.94,6.0,29.94,1
Appam Batter,6.0,29.94,6.0,29.94,1
amul Almond milk 150g,6.0,29.94,6.0,29.94,1
Mata Shringar Kit,6.0,29.94,6.0,29.94,1
Laxmi Rice Flour 4Lb,6.0,29.94,6.0,29.94,1
Deep Hot Mango Pickle 26Oz,6.0,29.94,6.0,29.94,1
laxmi mix veg 908g,6.0,29.94,6.0,29.94,1
Britannia Toatea Suji Rusk 305g,10.0,29.9,10.0,29.9,1
Telugu Dalia Split 400gm,10.0,29.9,10.0,29.9,1
Sambal Oelek Fresh Chili Paste,10.0,29.9,10.0,29.9,1
     Ready-to-Eat & Instant Foods,10.0,29.9,10.0,29.9,1
Priya Ragi Flour 500G,10.0,29.9,10.0,29.9,1
Dabur Real Green Mango 1L,10.0,29.9,10.0,29.9,1
RAM MAIDA 2LB,10.0,29.9,10.0,29.9,1
Ramdev Coriander Whole 200g,10.0,29.9,10.0,29.9,1
Deep Mustard Seeds-400G,10.0,29.9,10.0,29.9,1
GAZAB FENNEL SEEDSLUCKNOWI200G,10.0,29.9,10.0,29.9,1
Dabur Guava Drink 1lt,10.0,29.9,10.0,29.9,1
Ying Yaang Hakka Noodles,10.0,29.9,10.0,29.9,1
Aachi Kashmiri Chilli 100G,10.0,29.9,10.0,29.9,1
Fresh Andhra Mixture 170g,10.0,29.9,10.0,29.9,1
Masala Jeera Kashmira 300ml,10.0,29.9,10.0,29.9,1
Gazab Brown Sesame Seeds,10.0,29.9,10.0,29.9,1
GAZAB IDLI RAVA 2LB,10.0,29.9,10.0,29.9,1
Mtr Vermicelli Payasam 180g,10.0,29.9,10.0,29.9,1
Sujata Tawa Chapati 12Ct,12.0,29.88,12.0,29.88,1
Swagat Roasted Channa 400G,12.0,29.88,12.0,29.88,1
Gazab Blanched Peanuts 400G,12.0,29.88,12.0,29.88,1
WEIKFIELD BICARBONATE SODA,12.0,29.88,12.0,29.88,1
Telugu Red Chilli,12.0,29.88,12.0,29.88,1
Aara Pipe-yellow Colour 400g,12.0,29.88,12.0,29.88,1
Aara Dalia Split 400Gms,12.0,29.88,12.0,29.88,1
Dark Fantasy Fantastik 150g,14.0,29.86,14.0,29.86,1
Everest Sambhar Masala 100Gm,15.0,29.85,15.0,29.85,1
Shan Meat Masala Mix 100Gm,15.0,29.85,15.0,29.85,1
Pooja Wicks Colour,15.0,29.85,15.0,29.85,1
vad rasp 55ml dolly,15.0,29.85,15.0,29.85,1
Deep Kutchi Murukku 200g,15.0,29.85,15.0,29.85,1
Everest Ginger Garlic Paste 200g,15.0,29.85,15.0,29.85,1
Foil Tray small With Lid,15.0,29.85,15.0,29.85,1
Famous Coco Milk 400g,15.0,29.85,15.0,29.85,1
LX.MUKHWAS GUJARATI 200G,15.0,29.85,15.0,29.85,1
Gazab Alsi Seeds 200G,15.0,29.85,15.0,29.85,1
Balaji Haldi Kumkum Big Combo,15.0,29.85,15.0,29.85,1
Mysore Sandals Rose,8.0,29.52,8.0,29.52,1
Yellow Turmeric / Lb,7.28,29.1,7.28,29.1,1
Sujata Chikki Atta 20Lb,1.0,28.99,1.0,28.99,1
Dabur Mustard Oil 5Lt,1.0,28.99,1.0,28.99,1
Vadilal Anjeer Sugar Free Ice 1 lit,2.0,28.98,2.0,28.98,1
Aloevera 1Ct,29.0,28.71,29.0,28.71,1
Treat Cozy Cardamom100g,29.0,28.71,29.0,28.71,1
Parle Rusk 200G,19.0,28.31,19.0,28.31,1
Great Value iodized salt 737g,19.0,28.31,19.0,28.31,1
Reddy's Kasoori methi 2OZ,19.0,28.31,19.0,28.31,1
Spd Kichili Samba Boiled rice 10lb,2.0,27.98,2.0,27.98,1
Vadilal Alphonso No Sugar 1 lit,2.0,27.98,2.0,27.98,1
Vadilal Kesar Pista Kulfi No Sugar 1 litre,2.0,27.98,2.0,27.98,1
Aara Vadimatta Rice 8Lb,2.0,27.98,2.0,27.98,1
GAZAB ALMOND OIL 100ML,4.0,27.96,4.0,27.96,1
Swagat Almonds 400g,4.0,27.96,4.0,27.96,1
Taaza Malai chum chum 341gm,4.0,27.96,4.0,27.96,1
Swagat Kolhapuri Jarrey 4.4LB,4.0,27.96,4.0,27.96,1
Vatika Red Onions 300Ml,4.0,27.96,4.0,27.96,1
vad meetha paan 500ml,4.0,27.96,4.0,27.96,1
RAJMAH KIDNEY BEANS 4LB,4.0,27.96,4.0,27.96,1
karachi gulab jamun,4.0,27.96,4.0,27.96,1
Maggi Rich Tomato Ketchup 970G,4.0,27.96,4.0,27.96,1
Deep Green Pistachios 7oz,4.0,27.96,4.0,27.96,1
Nanak Fresh Khoa/ Mawa 12Oz,4.0,27.96,4.0,27.96,1
Goya Extra Virgin Olive Oil,4.0,27.96,4.0,27.96,1
vad pista malai 500ml,4.0,27.96,4.0,27.96,1
priyems o Dosa 900gms,4.0,27.96,4.0,27.96,1
Vatika Henna Sampoo,4.0,27.96,4.0,27.96,1
Vatika Egg Protein 300Ml,4.0,27.96,4.0,27.96,1
SATV Health Mix 500g,4.0,27.96,4.0,27.96,1
Deep Sliced Almonds 14oz,4.0,27.96,4.0,27.96,1
Kalonji Oil Black Seed,6.0,27.96,6.0,27.96,1
Quik Tea Turmeric Tea 10bags,6.0,27.95,6.0,27.95,1
premier edible camphor 100g,6.0,27.94,6.0,27.94,1
Gazab Special Sweet Bites 100g,7.0,27.93,7.0,27.93,1
Delicious Delight milk rusk 400g,7.0,27.93,7.0,27.93,1
Delicious delight Almond biscuit 200gm,7.0,27.93,7.0,27.93,1
Meera Herbal Hairwash Pwd 120G,7.0,27.93,7.0,27.93,1
Daily Delight Wheat Porotta 1Lbs,7.0,27.93,7.0,27.93,1
Khas Khas Mix,7.0,27.93,7.0,27.93,1
Ramdev Coriander powder 400g,7.0,27.93,7.0,27.93,1
HEM SANDAL ROSE,7.0,27.93,7.0,27.93,1
Mothers Delhi Chaat Saunth 275g,7.0,27.93,7.0,27.93,1
GAZAB GUJARATI MIX,7.0,27.93,7.0,27.93,1
Delicious Delight Cardamom Rusk 400g,7.0,27.93,7.0,27.93,1
HEM sandalwood stick,7.0,27.93,7.0,27.93,1
CYCLE OM SHANTHI JASMINE OIL,7.0,27.93,7.0,27.93,1
BAMBINO BESAN LADDU,7.0,27.93,7.0,27.93,1
Block Seed &Henna 300Ml,7.0,27.93,7.0,27.93,1
Hem Gulab/Rose Incense,7.0,27.93,7.0,27.93,1
Swagat Horse Gram/2Lbs,7.0,27.93,7.0,27.93,1
Laxmi Panipuri Con 8Oz,7.0,27.93,7.0,27.93,1
Colgate Lemon Salt/200Gm,7.0,27.93,7.0,27.93,1
COLGATE CHARCOAL,7.0,27.93,7.0,27.93,1
Laxmi Punjab Shakkar 2lb,7.0,27.93,7.0,27.93,1
Adani Wheat Flour 2Lb,7.0,27.93,7.0,27.93,1
Taza Romali roti 8pcs,7.0,27.93,7.0,27.93,1
Telugu Whole Red Chillies,7.0,27.93,7.0,27.93,1
Chutnefy Corriander Chutney 75G,7.0,27.93,7.0,27.93,1
Mothers samosa chutney 285g,7.0,27.93,7.0,27.93,1
Adukale Karida Avalakki 180G,7.0,27.93,7.0,27.93,1
Hide&Seek B Bourbon (300G),7.0,27.93,7.0,27.93,1
Laxmi Coriander Chutney 8Oz,7.0,27.93,7.0,27.93,1
Vadilal Classic Cassatta 150Ml,7.0,27.93,7.0,27.93,1
Vadilal Tandoori Naan 400Gm,8.0,27.92,8.0,27.92,1
Shan Ginger Paste 310Gm,8.0,27.92,8.0,27.92,1
Weikfield cornflour 400gm,8.0,27.92,8.0,27.92,1
Laxmi Desi Besan 2LB,8.0,27.92,8.0,27.92,1
heritage guntur 200g,8.0,27.92,8.0,27.92,1
heritage teja whole red chilli,8.0,27.92,8.0,27.92,1
Gazab Sattu 400G,8.0,27.92,8.0,27.92,1
Sikharam (50gms),9.0,27.91,9.0,27.91,1
Mtr Idli Karam Podi 100G,14.0,27.86,14.0,27.86,1
Ramdev Mustard Whole 200g,14.0,27.86,14.0,27.86,1
Telugu Biryani Masala 75g,14.0,27.86,14.0,27.86,1
Swagat Dry Coco Whole,14.0,27.86,14.0,27.86,1
Everest Amchur Powder-100Gm,14.0,27.86,14.0,27.86,1
Ss Plate # 8,6.0,27.66,6.0,27.66,1
HERITAGE RICE RAVA 4LB,5.0,27.45,5.0,27.45,1
Kushal Kanthil,11.0,27.39,11.0,27.39,1
Aara Kalonji 100G,11.0,27.39,11.0,27.39,1
Gazab Till Chikki 200G,11.0,27.39,11.0,27.39,1
Aara Flax Seeds 200G,11.0,27.39,11.0,27.39,1
Weikfield Custard Vanilla Powder 200g,11.0,27.39,11.0,27.39,1
Laxmi Cardamom Powder 100G,3.0,26.97,3.0,26.97,1
Urad Split White 2Lb 24M,3.0,26.97,3.0,26.97,1
WHITE BALL,3.0,26.97,3.0,26.97,1
Organic tattva chana dal 4lb,3.0,26.97,3.0,26.97,1
Everest Chicken Masala 500G,3.0,26.97,3.0,26.97,1
Kumkummadi Oil,3.0,26.97,3.0,26.97,1
Vagharia Medium,3.0,26.97,3.0,26.97,1
Aara Phool Makhana 200G,3.0,26.97,3.0,26.97,1
Vadilal Butter Scotch Burfee 340g,3.0,26.97,3.0,26.97,1
SHIVA LINGA WHITE,3.0,26.97,3.0,26.97,1
janakis thattai chips,9.0,26.91,9.0,26.91,1
Granted Coconut,9.0,26.91,9.0,26.91,1
swetha kolhapuri mamara 400g,9.0,26.91,9.0,26.91,1
Deep Coconut Slices,9.0,26.91,9.0,26.91,1
Mtr Rte Paneertikkamasala-300G,9.0,26.91,9.0,26.91,1
Vadilal Tuver Lilva 312Gm,9.0,26.91,9.0,26.91,1
Vadilal Tindora 312Gm,9.0,26.91,9.0,26.91,1
Bhaiyajis Green Mango Shredded 341g,9.0,26.91,9.0,26.91,1
Janaki Thick Sev 198g,9.0,26.91,9.0,26.91,1
Telugu Ginger 300G,9.0,26.91,9.0,26.91,1
Telugu Smbar Chilli,9.0,26.91,9.0,26.91,1
AACHI CHAAT MASALA 100G,9.0,26.91,9.0,26.91,1
Kitchen Xpress Drumsticks 312g,9.0,26.91,9.0,26.91,1
Deep Frozen Guvar-340G,9.0,26.91,9.0,26.91,1
Green Harvest Foxtail Millet 200G,9.0,26.91,9.0,26.91,1
Reddy's Mustard seeds 200gm,18.0,26.82,18.0,26.82,1
Hide&Seek Bourbon Vanilla,18.0,26.82,18.0,26.82,1
Britannia Treat Pineapple,27.0,26.73,27.0,26.73,1
Swagat Black Salt 200g,27.0,26.73,27.0,26.73,1
Parval,9.79,26.34,9.79,26.34,1
Peeled Garlic 454Gm,5.84,26.22,5.84,26.22,1
Tomalu 18 Inch,1.0,25.99,1.0,25.99,1
Balaji Laxmi Photo 12*16,1.0,25.99,1.0,25.99,1
Aara Cumin Seeds 800G,2.0,25.98,2.0,25.98,1
SS Coffee Filter # 10,2.0,25.98,2.0,25.98,1
Vadilal Custard Apple 1 Litre,2.0,25.98,2.0,25.98,1
Falak Sella Extra Long Basmiti,2.0,25.98,2.0,25.98,1
SUNFEAST MOM RICH 750G,5.0,25.95,5.0,25.95,1
Gazab Bay Leaves 100G,13.0,25.87,13.0,25.87,1
Gazab Basil Seed Pomegranate,13.0,25.87,13.0,25.87,1
Sdp Mart Red Rice Pasta,13.0,25.87,13.0,25.87,1
Vatika Turmeric 100G,13.0,25.87,13.0,25.87,1
Puja Palm Jaggery P Chikki,13.0,25.87,13.0,25.87,1
Gazab Fryums Pipe Cut 400G,13.0,25.87,13.0,25.87,1
Mdh Pav Bhaji Masala 3.5Oz,13.0,25.87,13.0,25.87,1
Lifebuoy 125G,13.0,25.87,13.0,25.87,1
chings corn flour,13.0,25.87,13.0,25.87,1
NAMAI FRESH LYCHEE JUICE 330ml,13.0,25.87,13.0,25.87,1
Mothers Green Chilli Sauce 190g,13.0,25.87,13.0,25.87,1
Sdp Ragi Millet Pasta,13.0,25.87,13.0,25.87,1
premier chandan powder,13.0,25.87,13.0,25.87,1
Green Egg Plant,12.89,25.65,12.89,25.65,1
Britania Goodday Chunkies 100G,17.0,25.33,17.0,25.33,1
Fresh Green Grapes,8.45,25.26,8.45,25.26,1
Parle Salted Peanuts 340G,10.0,25.0,10.0,25.0,1
iron tava flat #13,1.0,24.99,1.0,24.99,1
Deccan Ponni Raw Rice 20Lb,1.0,24.99,1.0,24.99,1
777 Nannari Syrup,5.0,24.95,5.0,24.95,1
COLGATE SENSITIVE PASTE,5.0,24.95,5.0,24.95,1
Swagat Urad split 4LB,5.0,24.95,5.0,24.95,1
Heinz Tomato Ketchup 567g,5.0,24.95,5.0,24.95,1
Gazab Black Pepper Pwd 200G,5.0,24.95,5.0,24.95,1
VEEBA TAMARIND CHUTNEY,5.0,24.95,5.0,24.95,1
Reddy's Kabuli chana 2LB,5.0,24.95,5.0,24.95,1
Vicco Aloe Skin Cream,5.0,24.95,5.0,24.95,1
Quick Tea Ginger,5.0,24.95,5.0,24.95,1
Aachi Puttu Powder (rice Flour) 1kg,5.0,24.95,5.0,24.95,1
Nivea Cream,5.0,24.95,5.0,24.95,1
Pineapple Each,5.0,24.95,5.0,24.95,1
Deep Mixed Pickle 26Oz,5.0,24.95,5.0,24.95,1
swetha little millet flour 2lb,5.0,24.95,5.0,24.95,1
Diya Plain Med,5.0,24.95,5.0,24.95,1
Aachi Idyappam powder 1kg,5.0,24.95,5.0,24.95,1
Deep Coconut Strings 400G,6.0,24.94,6.0,24.94,1
Lx Toovar Lilva-310G,10.0,24.9,10.0,24.9,1
Deep Suran - 12 Oz,10.0,24.9,10.0,24.9,1
Peanut Round Gajak,10.0,24.9,10.0,24.9,1
Aara Cinnamon Sticks 100G,10.0,24.9,10.0,24.9,1
Aara Sabudana Sago 400Gm,10.0,24.9,10.0,24.9,1
Vadilal Choco Bar 60ml,10.0,24.9,10.0,24.9,1
Kesar Pista Cone 110ml,7.0,24.43,7.0,24.43,1
Laxmi Cracked Wheat 2Lb,7.0,24.43,7.0,24.43,1
MR RAJASTHANI SWEET LIME 575GM,7.0,24.43,7.0,24.43,1
BRAR'S ELACHI RASMALAI 908G,2.0,23.98,2.0,23.98,1
Water Battle Plain,2.0,23.98,2.0,23.98,1
Swtha Ps 25 Samosa,2.0,23.98,2.0,23.98,1
indi bites aloo tikki 12pcs,3.0,23.97,3.0,23.97,1
green grapes 2lb,3.0,23.97,3.0,23.97,1
Everryday Milk Powder 350G,3.0,23.97,3.0,23.97,1
Nanak Paneer Pakora 454Gm,3.0,23.97,3.0,23.97,1
Nanak Chilli paneer bites 454g,3.0,23.97,3.0,23.97,1
Nanak Tandoori Paneer Pop 1Lb,3.0,23.97,3.0,23.97,1
laxmi dark kideny beans 4lb,3.0,23.97,3.0,23.97,1
Nanak Aloo Tikki 12Pcs(720Gm),3.0,23.97,3.0,23.97,1
lipton yellow label 100 bags,3.0,23.97,3.0,23.97,1
Deep Red Chili Whole Kashmiri 400g,3.0,23.97,3.0,23.97,1
Haldiram Kesar Rasmalai 500g,3.0,23.97,3.0,23.97,1
Pooja Chundadi Medium,3.0,23.97,3.0,23.97,1
Lion Date Multigrain Mix 500g,3.0,23.97,3.0,23.97,1
BRAR'S MOTICHOOR LADDO 350G,3.0,23.97,3.0,23.97,1
Adani Garam Masala Whole 400Gm,4.0,23.96,4.0,23.96,1
Nandos Garlic Medium,4.0,23.96,4.0,23.96,1
Nandos Medium 260g,4.0,23.96,4.0,23.96,1
Nandos Hot Sauces,4.0,23.96,4.0,23.96,1
Pooja Towel,4.0,23.96,4.0,23.96,1
Prestige Gasket 5L,4.0,23.96,4.0,23.96,1
NATURAL BLACK SEED OIL,4.0,23.96,4.0,23.96,1
priyems idli - dosa 900 gm,4.0,23.96,4.0,23.96,1
SS Wire Jara #2,4.0,23.96,4.0,23.96,1
grand paavakai thokku 400g,4.0,23.96,4.0,23.96,1
Pichhvai,4.0,23.96,4.0,23.96,1
Laxmi Yellow Split Peas 4Lb,4.0,23.96,4.0,23.96,1
Tetley Masala Tea Bags (72),4.0,23.96,4.0,23.96,1
Pia Amla Powser 100G,4.0,23.96,4.0,23.96,1
Ss pav bhaji plate 1pc,4.0,23.96,4.0,23.96,1
Vedic Karela Juice 500ml,4.0,23.96,4.0,23.96,1
Jaggery Powder 2Lb,4.0,23.96,4.0,23.96,1
premier sambar chilli 400g,4.0,23.96,4.0,23.96,1
Km Fancy Deepak,4.0,23.96,4.0,23.96,1
Dabur Vatika Egg Protein Mask,4.0,23.96,4.0,23.96,1
Aara Fennel Roasted 400G,4.0,23.96,4.0,23.96,1
Vatika Black seed Hair oil 300ml,4.0,23.96,4.0,23.96,1
Parle Hide And Seek 600G,4.0,23.96,4.0,23.96,1
zara #6,4.0,23.96,4.0,23.96,1
Aman Frozen Chapatti Family,4.0,23.96,4.0,23.96,1
Gazab Kuttu Flour 800G,4.0,23.96,4.0,23.96,1
Coconut Hair Oil 200Ml,4.0,23.96,4.0,23.96,1
Chaokoh Coconut Water,6.0,23.94,6.0,23.94,1
Ramdev Mamra Kolhapuri 400g,6.0,23.94,6.0,23.94,1
Gazab Turmeric Pwr 400G,6.0,23.94,6.0,23.94,1
Amul Spreadcheese Pepper 200g,6.0,23.94,6.0,23.94,1
HEM Sandalo,6.0,23.94,6.0,23.94,1
Black Pepper (200G),6.0,23.94,6.0,23.94,1
Deep Maida 2Lbs,6.0,23.94,6.0,23.94,1
     snacks,6.0,23.94,6.0,23.94,1
Balaji Mix Dal 2Lb,6.0,23.94,6.0,23.94,1
Laxmi Tamarind Chutney,6.0,23.94,6.0,23.94,1
Laxmi Mustard Whole Big 450G,6.0,23.94,6.0,23.94,1
Mothers Bhelpuri Chutney 270g,6.0,23.94,6.0,23.94,1
Aman Sheermal 3 pcs,6.0,23.94,6.0,23.94,1
Vadilal Chilli Garlic Naan 320g,6.0,23.94,6.0,23.94,1
Deep Chili Coriander Naan 4pcs,6.0,23.94,6.0,23.94,1
Himalaya Bright White 175G,6.0,23.94,6.0,23.94,1
Hem Veer Hanuman Incense,6.0,23.94,6.0,23.94,1
Maaza Lychee - 1 Lt,6.0,23.94,6.0,23.94,1
Aara Bay Leaves 100G,6.0,23.94,6.0,23.94,1
Gazab Khatti Meethi Goli 180G,6.0,23.94,6.0,23.94,1
Gujarati Velan Wooden,6.0,23.94,6.0,23.94,1
NUTRALEY CAROM 250G,6.0,23.94,6.0,23.94,1
Ramdev Fennel seeds 400g,6.0,23.94,6.0,23.94,1
Deep Jaggery Ball 2Lb,6.0,23.94,6.0,23.94,1
Mothers Tangy date chutney 285g,6.0,23.94,6.0,23.94,1
Gazab Red Chilli Round 200G,6.0,23.94,6.0,23.94,1
Tazza Mango Juice 2LB,6.0,23.94,6.0,23.94,1
Vadilal Curry Leaves 100g,6.0,23.94,6.0,23.94,1
Balaji Pure Ghee Wicks,6.0,23.94,6.0,23.94,1
Aachi Idicha Sambar Powder 100g,8.0,23.92,8.0,23.92,1
Depp whole black pepper,8.0,23.92,8.0,23.92,1
Real Masala Guava,8.0,23.92,8.0,23.92,1
Okra Cut 11Oz,8.0,23.92,8.0,23.92,1
Swagat Blanched Peanuts,8.0,23.92,8.0,23.92,1
Laxmi Onion Paratha 400G,8.0,23.92,8.0,23.92,1
Aachi Rasam powder 100g,8.0,23.92,8.0,23.92,1
Reddy's cloves whole 100gm,8.0,23.92,8.0,23.92,1
Deccan IdlI Rava 2LB,8.0,23.92,8.0,23.92,1
SAMPAT DEEP-1,8.0,23.92,8.0,23.92,1
Reddy's red chilli powder 200gm,8.0,23.92,8.0,23.92,1
VEEBA GREEN CHILLI SAUCE 200g,8.0,23.92,8.0,23.92,1
Indi Bites Home Style Paratha 5pic,8.0,23.92,8.0,23.92,1
Aachi Tandoori Masala 100G,8.0,23.92,8.0,23.92,1
Karachi Bakery Twist Khari 250 g,8.0,23.92,8.0,23.92,1
Laxmi Bajri Floor,8.0,23.92,8.0,23.92,1
Green Harvest Multi Millet 200G,8.0,23.92,8.0,23.92,1
Laxmi Mix Veg Paratha 400G,8.0,23.92,8.0,23.92,1
AACHI BIRYANI MASALA 100G,8.0,23.92,8.0,23.92,1
deep Sesame seeds 200g,8.0,23.92,8.0,23.92,1
Deep Horse Gram 2lb,8.0,23.92,8.0,23.92,1
Vadilal Methi- 11Oz,8.0,23.92,8.0,23.92,1
MODA BAKLAVA WALNUT 30G,9.0,23.91,9.0,23.91,1
Swagat Ragi Flour /2Lb,10.0,23.9,10.0,23.9,1
Priya Verusanaga Powder (100G),12.0,23.88,12.0,23.88,1
Telugu Chat Masala 80G,12.0,23.88,12.0,23.88,1
Sdp Mixed Millet Noddles,12.0,23.88,12.0,23.88,1
Deep Turmeric Powder-200G,12.0,23.88,12.0,23.88,1
Everest Kitchen King-100Gm,12.0,23.88,12.0,23.88,1
Gazab Aloe Vera Mango 290Ml,12.0,23.88,12.0,23.88,1
Badshah Punjabi Chhole Masala 100g,12.0,23.88,12.0,23.88,1
Priya Kandi Podi Powder100G,12.0,23.88,12.0,23.88,1
Gazab Honey Flavor 290Ml,12.0,23.88,12.0,23.88,1
Laxmi Dhoop(8 Sticks),12.0,23.88,12.0,23.88,1
Shan Keema Curry Mix 50G,12.0,23.88,12.0,23.88,1
Swagat Rose Water 200Ml,12.0,23.88,12.0,23.88,1
Everest Shahi Biryani Masala 50g,12.0,23.88,12.0,23.88,1
Priya Tandoori Ckicken Masala 50G,12.0,23.88,12.0,23.88,1
Ramdev Sesame whole hulled 200g,12.0,23.88,12.0,23.88,1
Morton Salt 1 Lb,12.0,23.88,12.0,23.88,1
Priya Kura Karam (100G),12.0,23.88,12.0,23.88,1
Priya Andhra Chicken Masala50g,12.0,23.88,12.0,23.88,1
Priya Country Chicken Masala 50G,12.0,23.88,12.0,23.88,1
Priya Sambar Powder(100G),12.0,23.88,12.0,23.88,1
Aara Black Salt 100G,16.0,23.84,16.0,23.84,1
Tiger Kreemz Choco,24.0,23.76,24.0,23.76,1
VEDIKA RICE,1.0,22.99,1.0,22.99,1
Deccan Sona (20Lb),1.0,22.99,1.0,22.99,1
pure faith mustard oil 5l,1.0,22.99,1.0,22.99,1
Swetha Organic Idly Rice 20Lb,1.0,22.99,1.0,22.99,1
Ramdev sesame whole hulled 400g,6.0,22.94,6.0,22.94,1
Balaji Crunchy Masala Boondhi 340g,6.0,22.94,6.0,22.94,1
Moms Magic Butter Cookies 75G,23.0,22.77,23.0,22.77,1
MR Punjabi Teekha Mango 500g,5.0,22.45,5.0,22.45,1
Mother's Recip pavbhaji masala,5.0,22.45,5.0,22.45,1
Ramdev Sabudana 908g,8.0,22.42,8.0,22.42,1
Amma's Kerala Murukku 200G,9.0,22.41,9.0,22.41,1
Gazab Baking Powder,9.0,22.41,9.0,22.41,1
Laxmi Crushed Red Chili 200G,9.0,22.41,9.0,22.41,1
Am Butter Muruku 200Gm,9.0,22.41,9.0,22.41,1
khalani dasta #2,2.0,22.0,2.0,22.0,1
Herbal Hair Oil,2.0,21.98,2.0,21.98,1
Pooja Plate - 12,2.0,21.98,2.0,21.98,1
Himalaya Milk Cake 400g,2.0,21.98,2.0,21.98,1
Vadilal Kesar Pista 1Lit,2.0,21.98,2.0,21.98,1
plates,2.0,21.98,2.0,21.98,1
All In One Herbal,2.0,21.98,2.0,21.98,1
Tetley Black Tea 900G,2.0,21.98,2.0,21.98,1
Laxmi Kala Chana 8Lb,2.0,21.98,2.0,21.98,1
Bhringraj Oil,2.0,21.98,2.0,21.98,1
Bowl 9,2.0,21.98,2.0,21.98,1
